stable_name,status,si_enrichment_files,si_pdf,si_spreadsheet,si_document,si_data,code_files,full_text_pdf,total_files
10_1109_tqe_2025_3618295,ok,0,0,0,0,0,0,1,1
10_1109_tqe_2026_3681530,ok,0,0,0,0,0,0,2,2
10_1117_12_3085665,ok,0,0,0,0,0,0,0,0
10_1140_epjp_s13360_025_07148_5,ok,0,0,0,0,0,0,1,1
10_1142_s1469026825500105,ok,0,0,0,0,0,0,0,0
10_1155_2022_3236305,ok,0,0,0,0,0,0,0,3290
10_1186_s12880_023_01084_5,ok,0,0,0,0,0,0,1,1
10_1186_s12880_025_01813_y,ok,0,0,0,0,0,0,1,1
10_1186_s12911_021_01588_6,ok,0,0,0,0,0,0,1,1
10_1371_journal_pone_0331870,ok,80,15,65,0,0,69,0,1698
10_2174_0115734056317489240808094924,ok,0,0,0,0,0,0,0,0
10_22331_q_2022_12_22_881,ok,0,0,0,0,0,0,1,1
10_3389_fdgth_2023_1283726,ok,0,0,0,0,0,0,1,1
10_3389_fmed_2025_1677234,ok,0,0,0,0,0,0,1,1
10_3389_fonc_2025_1553539,ok,15,0,0,0,15,39,1,224
10_3389_fphy_2022_1046314,ok,0,0,0,0,0,0,1,1
10_3389_fphy_2023_1212373,ok,0,0,0,0,0,0,1,1
10_3389_fpsyt_2025_1648060,ok,0,0,0,0,0,0,1,1
10_3390_a19040279,ok,0,0,0,0,0,0,0,0
10_3390_ai6020036,ok,0,0,0,0,0,3,0,3
10_3390_app13064009,ok,0,0,0,0,0,0,0,0
10_3390_bdcc10010012,ok,0,0,0,0,0,0,0,0
10_3390_bioengineering11080799,ok,0,0,0,0,0,0,0,0
10_3390_bioengineering12040326,ok,0,0,0,0,0,0,0,0
10_3390_biomedinformatics5030051,ok,0,0,0,0,0,0,0,0
10_3390_brainsci14040401,ok,1,1,0,0,0,0,0,1
10_3390_computation13120278,ok,0,0,0,0,0,3,0,3
10_3390_diagnostics14050558,ok,0,0,0,0,0,0,0,0
10_3390_electronics11050721,ok,0,0,0,0,0,0,0,0
10_3390_jimaging9070128,ok,162,0,162,0,0,14,1,2623
10_3390_jimaging9100221,ok,0,0,0,0,0,3,0,54
10_3390_life15071124,ok,0,0,0,0,0,0,0,4105
10_4018_ijehmc_321149,ok,0,0,0,0,0,0,1,1
10_56042_jsir_v84i1_14112,ok,0,0,0,0,0,0,1,1
10_62347_wohq8174,ok,0,0,0,0,0,0,1,1
10_7717_peerj_cs_3387,ok,0,0,0,0,0,1,0,1
